ID,ADDRESS,TYPE,BRANCH
207,台北市南港區聯成里昆陽街150-1號150-3號,統一超商股份有限公司,聯成
208,台北市北投區知行路185號1樓,統一超商股份有限公司,知心
209,台北市南港區中坡南路47號1樓,統一超商股份有限公司,中坡
210,台北市松山區新東街15巷1號,統一超商股份有限公司,征東
211,台北市士林區承德路四段30號,統一超商股份有限公司,新承德
212,台北市中山區民生東路二段157號,統一超商股份有限公司,佳佳
213,台北市中山區龍江路104號1樓,統一超商股份有限公司,龍京
214,台北市南港區研究院路三段72號74號1樓,統一超商股份有限公司,華技
215,台北市南港區經貿二路168號4樓,統一超商股份有限公司,鑫貿
216,台北市大安區仁愛路四段79號1號,統一超商股份有限公司,頂好
217,台北市大同區長安西路45之2號47號1樓,統一超商股份有限公司,長峰
218,台北市大同區民族西路246號248號1樓,統一超商股份有限公司,延民
219,台北市大安區和平東路三段298號300號1樓,統一超商股份有限公司,富陽
220,台北市南港區忠孝東路七段359號1樓,統一超商股份有限公司,港泰
221,台北市信義區松高路12號B1樓,統一超商股份有限公司,新光
222,台北市南港區經貿二路186號2樓,統一超商股份有限公司,中貿
223,台北市中山區建國北路二段127號1樓B1樓,統一超商股份有限公司,建錦
224,台北市大安區濟南路三段12號1樓,統一超商股份有限公司,濟南
225,台北市大安區仁愛路四段122巷50號1樓,統一超商股份有限公司,敦信
226,台北市信義區松德路271號,統一超商股份有限公司,松義
227,台北市萬華區青年路18號1樓,統一超商股份有限公司,青園
228,台北市南港區向陽路166號1樓,統一超商股份有限公司,向揚
229,台北市中山區長安東路二段178號178-1號1樓,統一超商股份有限公司,鑫安江
230,台北市中山區南京東路二段115巷1號,統一超商股份有限公司,松盛
231,台北市中正區新生南路一段126-7號,統一超商股份有限公司,新南
232,台北市中山區松江路363號,統一超商股份有限公司,權松
233,台北市士林區文林路530號,統一超商股份有限公司,丹樺
234,台北市松山區民生東路五段100號,統一超商股份有限公司,東吉
235,台北市文山區羅斯福路五段249號1樓,統一超商股份有限公司,萬隆站
236,台北市大安區通化街177號,統一超商股份有限公司,華電
